run_id,scenario_id,scenario_name,severity,threat_type,engine,total_ms,status,confidence,timestamp
"run-20260221-203010-6839",N5,"Slowloris HTTP",5,"Unknown",none,6,processed,0,2026-02-21T20:31:47.212213+00:00
"run-20260221-203010-6839",N6,"Slow POST",5,"Unknown",none,6,processed,0,2026-02-21T20:31:49.218795+00:00
"run-20260221-203010-6839",N7,"Connection Exhaustion",5,"Unknown",none,6,processed,0,2026-02-21T20:31:51.225120+00:00
"run-20260221-203010-6839",N8,"ICMP Flood",5,"Unknown",none,6,processed,0,2026-02-21T20:31:53.231783+00:00
"run-20260221-203010-6839",N9,"IP Fragmentation Attack",5,"Unknown",none,5,processed,0,2026-02-21T20:31:55.237975+00:00
"run-20260221-203010-6839",N10,"TCP RST Injection",5,"Unknown",none,10,processed,0,2026-02-21T20:31:57.249013+00:00
"run-20260221-203010-6839",N11,"ARP Spoofing (Simulated)",5,"Unknown",none,10,processed,0,2026-02-21T20:31:59.259324+00:00
"run-20260221-203010-6839",N12,"VLAN Hopping",5,"Unknown",none,13,processed,0,2026-02-21T20:32:01.272578+00:00
"run-20260221-203010-6839",N13,"MQTT Subscribe Flood",5,"Unknown",none,13,processed,0,2026-02-21T20:32:03.286181+00:00
"run-20260221-203010-6839",N14,"CoAP Amplification",5,"Unknown",none,12,processed,0,2026-02-21T20:32:05.298098+00:00
"run-20260221-203010-6839",N15,"OPC UA Discovery Flood",5,"Unknown",none,11,processed,0,2026-02-21T20:32:07.309948+00:00
"run-20260221-203010-6839",S1,"Brute Force Login",5,"Unknown",none,12,processed,0,2026-02-21T20:32:09.322714+00:00
"run-20260221-203010-6839",S2,"Credential Stuffing",5,"Unknown",none,14,processed,0,2026-02-21T20:32:11.337545+00:00
"run-20260221-203010-6839",S3,"JWT None Algorithm",5,"Unknown",none,13,processed,0,2026-02-21T20:32:13.351532+00:00
"run-20260221-203010-6839",S4,"Default Credentials",5,"Unknown",none,17,processed,0,2026-02-21T20:32:15.368431+00:00
"run-20260221-203010-6839",S5,"Password Spraying",5,"Unknown",none,12,processed,0,2026-02-21T20:32:17.380827+00:00
"run-20260221-203010-6839",S6,"Privilege Escalation (Vertical)",5,"Unknown",none,14,processed,0,2026-02-21T20:32:19.395864+00:00
"run-20260221-203010-6839",S7,"OAuth Token Theft",5,"Unknown",none,16,processed,0,2026-02-21T20:32:21.412490+00:00
"run-20260221-203010-6839",S8,"Session Hijacking",5,"Unknown",none,14,processed,0,2026-02-21T20:32:23.426986+00:00
"run-20260221-203010-6839",A1,"SQL Injection (Classic)",5,"Unknown",none,10,processed,0,2026-02-21T20:32:25.437073+00:00
"run-20260221-203010-6839",C1,"Reverse Shell Spawn",5,"Unknown",none,10,processed,0,2026-02-21T20:32:27.447527+00:00
"run-20260221-203010-6839",C3,"Sensitive File Read (/etc/shadow)",5,"Unknown",none,13,processed,0,2026-02-21T20:32:29.461103+00:00
"run-20260221-203010-6839",L3,"Pod-to-Pod Credential Relay",5,"Unknown",none,14,processed,0,2026-02-21T20:32:31.475931+00:00
"run-20260221-203010-6839",D1,"Patient Record Exfiltration",5,"Unknown",none,14,processed,0,2026-02-21T20:32:33.490951+00:00
"run-20260221-203010-6839",D7,"Log Tampering",5,"Unknown",none,16,processed,0,2026-02-21T20:32:35.507813+00:00
"run-20260221-203010-6839",S4,"Default Credentials",5,"Unknown",none,9,processed,0,2026-02-21T20:32:35.517611+00:00
"run-20260221-203010-6839",C4,"Container Escape (Privileged)",5,"Unknown",none,12,processed,0,2026-02-21T20:32:37.530137+00:00
